company,location,us_state,country,continent,total_laid_off,date_layoffs,pct_workforce,industry,stage,funds_raised_mil,year,layoff_year,layoff_month,layoff_quarter,company_size_category,department,severance_weeks,ai_related,reason,data_source
SecureWorks,Atlanta,Georgia,United States,North America,212,2023-02-07,9.0,Security,Post-IPO,83.0,2023,2023,2023-02,2023-Q1,Mid-size (100-999),,,,,main
Zoom,San Jose,California,United States,North America,1300,2023-02-07,15.0,Other,Post-IPO,276.0,2023,2023,2023-02,2023-Q1,"Large (1,000-4,999)",,,,,main
Affirm,San Francisco,California,United States,North America,500,2023-02-08,19.0,Finance,Post-IPO,1500.0,2023,2023,2023-02,2023-Q1,Mid-size (100-999),,,,,main
Equitybee,Palo Alto,California,United States,North America,24,2023-02-08,25.0,Finance,Series B,85.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Gong,San Francisco,California,United States,North America,80,2023-02-08,7.0,Sales,Series E,583.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
FrontRow,Bengaluru,Karnataka,India,Asia,145,2022-05-27,30.0,Education,Series A,17.0,2022,2022,2022-05,2022-Q2,Mid-size (100-999),,,,,main
Gusto,San Francisco,California,United States,North America,126,2023-02-08,5.0,HR,Series E,746.0,2023,2023,2023-02,2023-Q1,Mid-size (100-999),,,,,main
Twitter,San Francisco,California,United States,North America,200,2023-02-25,10.0,Consumer,Post-IPO,12900.0,2023,2023,2023-02,2023-Q1,Mid-size (100-999),,,,,main
Amount,Chicago,Illinois,United States,North America,130,2023-02-27,25.0,Finance,Unknown,283.0,2023,2023,2023-02,2023-Q1,Mid-size (100-999),,,,,main
Outreach,Seattle,Washington,United States,North America,70,2023-02-27,7.0,Sales,Series G,489.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Palantir,Denver,Colorado,United States,North America,75,2023-02-27,2.0,Data,Post-IPO,3000.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Stytch,San Francisco,California,United States,North America,19,2023-02-27,25.0,Security,Series B,126.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Eventbrite,San Francisco,California,United States,North America,80,2023-02-28,8.0,Consumer,Post-IPO,557.0,2023,2023,2023-02,2023-Q1,Small (<100),,,,,main
Sonder,San Francisco,California,United States,North America,100,2023-03-01,14.0,Travel,Post-IPO,839.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
Thoughtworks,Chicago,Illinois,United States,North America,500,2023-03-01,4.0,Other,Post-IPO,748.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
Zscaler,San Jose,California,United States,North America,177,2023-03-02,3.0,Security,Post-IPO,148.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
Electronic Arts,Redwood City,California,United States,North America,780,2023-03-29,6.0,Consumer,Post-IPO,2.0,2023,2023,2023-03,2023-Q1,Mid-size (100-999),,,,,main
Crossbeam,Philadelphia,Pennsylvania,United States,North America,17,2023-03-30,15.0,Sales,Series C,116.0,2023,2023,2023-03,2023-Q1,Small (<100),,,,,main
Loop,Austin,Texas,United States,North America,19,2023-03-30,25.0,Finance,Series A,24.0,2023,2023,2023-03,2023-Q1,Small (<100),,,,,main
Guideline,Burlingame,California,United States,North America,48,2023-04-03,11.0,Finance,Series E,339.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
Textio,Seattle,Washington,United States,North America,15,2023-04-03,12.0,HR,Unknown,42.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
View,Mountain View,California,United States,North America,170,2023-04-03,23.0,Other,Post-IPO,2300.0,2023,2023,2023-04,2023-Q2,Mid-size (100-999),,,,,main
Boost,New York City,New York,United States,North America,15,2023-04-04,20.0,Finance,Series B,37.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
Amplitude,Milpitas,California,United States,North America,99,2023-04-05,13.0,Data,Post-IPO,311.0,2023,2023,2023-04,2023-Q2,Small (<100),,,,,main
Dropbox,San Francisco,California,United States,North America,500,2023-04-27,16.0,Other,Post-IPO,1700.0,2023,2023,2023-04,2023-Q2,Mid-size (100-999),,,,,main
Greenhouse,New York City,New York,United States,North America,100,2023-04-27,12.0,HR,Private Equity,110.0,2023,2023,2023-04,2023-Q2,Mid-size (100-999),,,,,main
Bishop Fox,Phoenix,Arizona,United States,North America,50,2023-05-02,13.0,Security,Series B,146.0,2023,2023,2023-05,2023-Q2,Small (<100),,,,,main
Unity,San Francisco,California,United States,North America,600,2023-05-03,8.0,Other,Post-IPO,1300.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Upwork,San Francisco,California,United States,North America,137,2023-05-03,15.0,Other,Post-IPO,168.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Sabre,Dallas,Texas,United States,North America,1100,2023-05-04,15.0,Travel,Post-IPO,,2023,2023,2023-05,2023-Q2,"Large (1,000-4,999)",,,,,main
LinkedIn,Sunnyvale,California,United States,North America,716,2023-05-08,4.0,HR,Acquired,154.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Akamai,Boston,Massachusetts,United States,North America,290,2023-05-09,3.0,Security,Post-IPO,35.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Sonatype,Baltimore,Maryland,United States,North America,100,2023-05-09,14.0,Security,Acquired,154.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Ebanx,Curitiba,State of Paraná,Brazil,South America,340,2022-06-21,20.0,Finance,Series B,460.0,2022,2022,2022-06,2022-Q2,Mid-size (100-999),,,,,main
Similarweb,New York City,New York,United States,North America,60,2023-05-10,6.0,Other,Post-IPO,235.0,2023,2023,2023-05,2023-Q2,Small (<100),,,,,main
Stack Overflow,New York City,New York,United States,North America,58,2023-05-10,10.0,HR,Acquired,153.0,2023,2023,2023-05,2023-Q2,Small (<100),,,,,main
Edgio,Phoenix,Arizona,United States,North America,134,2023-06-06,12.0,Infrastructure,Post-IPO,462.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
Reddit,San Francisco,California,United States,North America,90,2023-06-06,5.0,Consumer,Series F,1300.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Highspot,Seattle,Washington,United States,North America,140,2023-06-08,15.0,Sales,Series F,644.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
Expel,Washington DC,District of Columbia,United States,North America,60,2023-06-09,10.0,Security,Series E,288.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Chegg,Santa Clara,California,United States,North America,80,2023-06-12,4.0,Education,Post-IPO,227.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Grubhub,San Francisco,California,United States,North America,400,2023-06-12,15.0,Food,Acquired,284.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
Pendo,Raleigh,North Carolina,United States,North America,100,2023-06-12,12.0,Product,Series F,469.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
Olo,New York City,New York,United States,North America,81,2023-06-14,11.0,Food,Post-IPO,184.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Sonos,New York City,New York,United States,North America,130,2023-06-14,7.0,Consumer,Post-IPO,455.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
Pilot,San Francisco,California,United States,North America,45,2023-06-16,13.0,Finance,Unknown,116.0,2023,2023,2023-06,2023-Q2,Small (<100),,,,,main
Robinhood,Menlo Park,California,United States,North America,150,2023-06-26,7.0,Finance,Post-IPO,5600.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
New Relic,San Francisco,California,United States,North America,255,2023-06-27,10.0,Infrastructure,Post-IPO,214.0,2023,2023,2023-06,2023-Q2,Mid-size (100-999),,,,,main
Tilia,San Francisco,California,United States,North America,28,2023-07-19,32.0,Finance,Unknown,32.0,2023,2023,2023-07,2023-Q3,Small (<100),,,,,main
Deep Instict,New York City,New York,United States,North America,46,2023-07-25,15.0,Security,Unknown,322.0,2023,2023,2023-07,2023-Q3,Small (<100),,,,,main
Calendly,Atlanta,Georgia,United States,North America,60,2023-07-26,10.0,Other,Series B,351.0,2023,2023,2023-07,2023-Q3,Small (<100),,,,,main
Point,Palo Alto,California,United States,North America,61,2023-07-27,28.0,Real Estate,Series C,149.0,2023,2023,2023-07,2023-Q3,Small (<100),,,,,main
Verbit,New York City,New York,United States,North America,60,2023-07-27,6.0,Data,Series E,569.0,2023,2023,2023-07,2023-Q3,Small (<100),,,,,main
Archipelago,San Francisco,California,United States,North America,40,2023-08-01,30.0,Real Estate,Series B,57.0,2023,2023,2023-08,2023-Q3,Small (<100),,,,,main
Planet,San Francisco,California,United States,North America,117,2023-08-01,10.0,Aerospace,Post-IPO,574.0,2023,2023,2023-08,2023-Q3,Mid-size (100-999),,,,,main
Augury,New York City,New York,United States,North America,70,2023-08-02,18.0,Manufacturing,Series E,274.0,2023,2023,2023-08,2023-Q3,Small (<100),,,,,main
BetterUp,San Francisco,California,United States,North America,100,2023-08-02,16.0,HR,Series E,567.0,2023,2023,2023-08,2023-Q3,Mid-size (100-999),,,,,main
At-Bay,San Francisco,California,United States,North America,27,2023-09-12,9.0,Security,Unknown,296.0,2023,2023,2023-09,2023-Q3,Small (<100),,,,,main
Evolve,Denver,Colorado,United States,North America,175,2023-09-12,20.0,Travel,Series F,224.0,2023,2023,2023-09,2023-Q3,Mid-size (100-999),,,,,main
Airtable,San Francisco,California,United States,North America,237,2023-09-14,27.0,Product,Series F,1400.0,2023,2023,2023-09,2023-Q3,Mid-size (100-999),,,,,main
Lucid Software,Salt Lake City,Utah,United States,North America,75,2023-09-25,7.0,Other,Series E,170.0,2023,2023,2023-09,2023-Q3,Small (<100),,,,,main
Epic Gaming,Raleigh,North Carolina,United States,North America,870,2023-09-28,16.0,Consumer,Unknown,,2023,2023,2023-09,2023-Q3,Mid-size (100-999),,,,,main
Cowbell,Pleasanton,California,United States,North America,28,2023-09-29,12.0,Finance,Series B,123.0,2023,2023,2023-09,2023-Q3,Small (<100),,,,,main
Synapse,San Francisco,California,United States,North America,86,2023-10-02,40.0,Finance,Series B,50.0,2023,2023,2023-10,2023-Q4,Small (<100),,,,,main
Loft,Sao Paulo,State of São Paulo,Brazil,South America,384,2022-07-05,12.0,Real Estate,Unknown,788.0,2022,2022,2022-07,2022-Q3,Mid-size (100-999),,,,,main
Navan,Palo Alto,California,United States,North America,145,2023-12-05,5.0,Finance,Unknown,,2023,2023,2023-12,2023-Q4,Mid-size (100-999),,,,,main
Chipper Cash,San Francisco,California,United States,North America,15,2023-12-11,33.0,Finance,Series C,302.0,2023,2023,2023-12,2023-Q4,Small (<100),,,,,main
Bolt,San Francisco,California,United States,North America,130,2023-12-14,29.0,Finance,Series E,1300.0,2023,2023,2023-12,2023-Q4,Mid-size (100-999),,,,,main
Enphase Energy,Fremont,California,United States,North America,350,2023-12-18,10.0,Energy,Post-IPO,116.0,2023,2023,2023-12,2023-Q4,Mid-size (100-999),,,,,main
Frontdesk,Milwaukee,Wisconsin,United States,North America,200,2024-01-02,100.0,Travel,Unknown,26.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Xerox,Norwalk,Connecticut,United States,North America,3000,2024-01-03,15.0,Hardware,Post-IPO,27.0,2024,2024,2024-01,2024-Q1,"Large (1,000-4,999)",,,,,main
NuScale Power,Corvallis,Oregon,United States,North America,154,2024-01-08,28.0,Energy,Post-IPO,470.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Unity,San Francisco,California,United States,North America,1800,2024-01-08,25.0,Other,Post-IPO,1.0,2024,2024,2024-01,2024-Q1,"Large (1,000-4,999)",,,,,main
Humane,San Francisco,California,United States,North America,10,2024-01-09,4.0,Hardware,Series C,230.0,2024,2024,2024-01,2024-Q1,Small (<100),,,,,main
Treasure Financial,San Francisco,California,United States,North America,14,2024-01-09,60.0,Finance,Series A,14.0,2024,2024,2024-01,2024-Q1,Small (<100),,,,,main
Twitch,San Francisco,California,United States,North America,500,2024-01-09,35.0,Consumer,Acquired,35.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Citrix,Miami,Florida,United States,North America,1000,2024-01-10,12.0,Infrastructure,Acquired,20.0,2024,2024,2024-01,2024-Q1,"Large (1,000-4,999)",,,,,main
FreshDirect,New York City,New York,United States,North America,100,2024-01-10,3.0,Food,Acquired,280.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Discord,San Francisco,California,United States,North America,170,2024-01-11,17.0,Consumer,Series H,995.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Sisense,New York City,New York,United States,North America,60,2024-01-11,13.0,Data,Series F,274.0,2024,2024,2024-01,2024-Q1,Small (<100),,,,,main
Salesforce,San Francisco,California,United States,North America,700,2024-01-26,1.0,Sales,Post-IPO,65.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
iRobot,Boston,Massachusetts,United States,North America,350,2024-01-29,31.0,Consumer,Post-IPO,30.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Aurora Solar,San Francisco,California,United States,North America,111,2024-01-30,20.0,Energy,Series D,523.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Block,San Francisco,California,United States,North America,1000,2024-01-30,10.0,Finance,Post-IPO,150.0,2024,2024,2024-01,2024-Q1,"Large (1,000-4,999)",,,,,main
PayPal,San Jose,California,United States,North America,2500,2024-01-30,9.0,Finance,Post-IPO,216.0,2024,2024,2024-01,2024-Q1,"Large (1,000-4,999)",,,,,main
Proofpoint,Sunnyvale,California,United States,North America,280,2024-01-31,6.0,Security,Acquired,885.0,2024,2024,2024-01,2024-Q1,Mid-size (100-999),,,,,main
Okta,San Francisco,California,United States,North America,400,2024-02-01,7.0,Security,Post-IPO,1.0,2024,2024,2024-02,2024-Q1,Mid-size (100-999),,,,,main
Zoom,San Jose,California,United States,North America,150,2024-02-01,2.0,Other,Post-IPO,276.0,2024,2024,2024-02,2024-Q1,Mid-size (100-999),,,,,main
Impact.com,Los Angeles,California,United States,North America,40,2024-02-05,3.0,Sales,Private Equity,361.0,2024,2024,2024-02,2024-Q1,Small (<100),,,,,main
Snap,Los Angeles,California,United States,North America,500,2024-02-05,10.0,Consumer,Post-IPO,5.0,2024,2024,2024-02,2024-Q1,Mid-size (100-999),,,,,main
DocuSign,San Francisco,California,United States,North America,440,2024-02-06,6.0,Sales,Post-IPO,536.0,2024,2024,2024-02,2024-Q1,Mid-size (100-999),,,,,main
Edgio,Phoenix,Arizona,United States,North America,80,2024-03-04,10.0,Infrastructure,Post-IPO,462.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Melio,New York City,New York,United States,North America,40,2024-03-04,7.0,Finance,Series D,504.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Introhive,Ferdericton,New Brunswick,Canada,North America,57,2022-07-20,16.0,Sales,Series C,125.0,2022,2022,2022-07,2022-Q3,Small (<100),,,,,main
Turnitin,Oakland,California,United States,North America,15,2024-03-07,2.0,Education,Acquired,,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Niche,Pittsburgh,Pennsylvania,United States,North America,24,2024-03-08,7.0,Education,Series C,44.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Stash,New York City,New York,United States,North America,80,2024-03-13,25.0,Finance,Unknown,480.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Textio,Seattle,Washington,United States,North America,14,2024-03-14,16.0,HR,Unknown,42.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
Dell,Austin,Texas,United States,North America,6000,2024-03-25,5.0,Hardware,Post-IPO,,2024,2024,2024-03,2024-Q1,"Very Large (5,000-9,999)",,,,,main
Synctera,Palo Alto,California,United States,North America,17,2024-03-26,15.0,Finance,Series A,79.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
ChowNow,Los Angeles,California,United States,North America,60,2024-03-28,20.0,Food,Series C,64.0,2024,2024,2024-03,2024-Q1,Small (<100),,,,,main
EXL,New York City,New York,United States,North America,800,2024-04-06,2.0,IT Services,Unknown,,2024,2024,2024-04,2024-Q2,Mid-size (100-999),,,,,main
Singularity 6,Los Angeles,California,United States,North America,49,2024-04-08,35.0,Gaming,Series B,49.0,2024,2024,2024-04,2024-Q2,Small (<100),,,,,main
Checkr,San Francisco,California,United States,North America,382,2024-04-09,32.0,HR,Series D,,2024,2024,2024-04,2024-Q2,Mid-size (100-999),,,,,main
McKinsey & Co,New York City,New York,United States,North America,360,2024-04-15,3.0,Business Consulting and Services,Unknown,,2024,2024,2024-04,2024-Q2,Mid-size (100-999),,,,,main
Enovix,Fremont,California,United States,North America,170,2024-05-06,33.0,Energy,Post-IPO,516.0,2024,2024,2024-05,2024-Q2,Mid-size (100-999),,,,,main
Arkane Studios,Austin,Texas,United States,North America,96,2024-05-08,100.0,Consumer,Unknown,,2024,2024,2024-05,2024-Q2,Small (<100),,,,,main
Vacasa,Portland,Oregon,United States,North America,800,2024-05-09,13.0,Hospitality,Unknown,,2024,2024,2024-05,2024-Q2,Mid-size (100-999),,,,,main
Indeed,Austin,Texas,United States,North America,1000,2024-05-13,8.0,HR,Acquired,5.0,2024,2024,2024-05,2024-Q2,"Large (1,000-4,999)",,,,,main
Replit,San Francisco,California,United States,North America,30,2024-05-16,20.0,Software Development,Unknown,222.0,2024,2024,2024-05,2024-Q2,Small (<100),,,,,main
Guild,Denver,Colorado,United States,North America,300,2024-05-22,25.0,Education,Series F,643.0,2024,2024,2024-05,2024-Q2,Mid-size (100-999),,,,,main
ICANN,Los Angeles,California,United States,North America,33,2024-05-30,7.0,Infrastructure,Unknown,,2024,2024,2024-05,2024-Q2,Small (<100),,,,,main
Paxos,New York City,New York,United States,North America,65,2024-06-12,20.0,Finance,Unknown,543.0,2024,2024,2024-06,2024-Q2,Small (<100),,,,,main
Intuit,Mountain View,California,United States,North America,1800,2024-07-10,10.0,Finance,Post-IPO,18.0,2024,2024,2024-07,2024-Q3,"Large (1,000-4,999)",,,,,main
Aqua Security,Boston,Massachusetts,United States,North America,50,2024-07-17,10.0,Security,Series E,325.0,2024,2024,2024-07,2024-Q3,Small (<100),,,,,main
Moxion Power,Richmond,California,United States,North America,248,2024-07-29,100.0,Energy,Unknown,124.0,2024,2024,2024-07,2024-Q3,Mid-size (100-999),,,,,main
Bungie,Seattle,Washington,United States,North America,220,2024-07-31,17.0,Consumer,Acquired,100.0,2024,2024,2024-07,2024-Q3,Mid-size (100-999),,,,,main
Intel,Santa Clara,California,United States,North America,15000,2024-08-01,15.0,Hardware,Post-IPO,12.0,2024,2024,2024-08,2024-Q3,"Massive (10,000+)",,,,,main
Jam City,Los Angeles,California,United States,North America,85,2024-08-05,10.0,Consumer,Unknown,652.0,2024,2024,2024-08,2024-Q3,Small (<100),,,,,main
Eventbrite,San Francisco,California,United States,North America,100,2024-08-07,11.0,Consumer,Post-IPO,557.0,2024,2024,2024-08,2024-Q3,Mid-size (100-999),,,,,main
Cisco,San Jose,California,United States,North America,5600,2024-08-09,7.0,Infrastructure,Post-IPO,2.0,2024,2024,2024-08,2024-Q3,"Very Large (5,000-9,999)",,,,,main
Sonos,Santa Barbara,California,United States,North America,100,2024-08-14,6.0,Consumer,Post-IPO,455.0,2024,2024,2024-08,2024-Q3,Mid-size (100-999),,,,,main
GoPro,San Mateo,California,United States,North America,139,2024-08-19,15.0,Consumer,Post-IPO,288.0,2024,2024,2024-08,2024-Q3,Mid-size (100-999),,,,,main
Nylas,San Francisco,California,United States,North America,80,2022-08-02,25.0,Product,Series C,175.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
Outreach,Seattle,Washington,United States,North America,60,2022-08-02,5.0,Sales,Series G,489.0,2022,2022,2022-08,2022-Q3,Small (<100),,,,,main
Five9,San Ramon,California,United States,North America,190,2024-08-20,7.0,Support,Post-IPO,862.0,2024,2024,2024-08,2024-Q3,Mid-size (100-999),,,,,main
iRobot,Boston,Massachusetts,United States,North America,105,2024-11-06,16.0,Consumer,Post-IPO,30.0,2024,2024,2024-11,2024-Q4,Mid-size (100-999),,,,,main
Freshworks,San Mateo,California,United States,North America,660,2024-11-07,13.0,Support,Post-IPO,484.0,2024,2024,2024-11,2024-Q4,Mid-size (100-999),,,,,main
Opendoor,San Francisco,California,United States,North America,300,2024-11-07,17.0,Real Estate,Post-IPO,1.0,2024,2024,2024-11,2024-Q4,Mid-size (100-999),,,,,main
Akamai,Boston,Massachusetts,United States,North America,250,2024-11-07,2.0,Security,Post-IPO,35.0,2024,2024,2024-11,2024-Q4,Mid-size (100-999),,,,,main
Monarch Tractor,Livermore,California,United States,North America,35,2024-11-08,10.0,Other,Unknown,214.0,2024,2024,2024-11,2024-Q4,Small (<100),,,,,main
Enphase Energy,Fremont,California,United States,North America,500,2024-11-11,17.0,Energy,Post-IPO,116.0,2024,2024,2024-11,2024-Q4,Mid-size (100-999),,,,,main
Chegg,Santa Clara,California,United States,North America,31,2024-11-12,21.0,Education,Post-IPO,227.0,2024,2024,2024-11,2024-Q4,Small (<100),,,,,main
AMD,Santa Clara,California,United States,North America,1000,2024-11-13,4.0,Hardware,Post-IPO,,2024,2024,2024-11,2024-Q4,"Large (1,000-4,999)",,,,,main
Skybox Security,San Jose,California,United States,North America,300,2025-02-24,100.0,Security,Private Equity,335.0,2025,2025,2025-02,2025-Q1,Mid-size (100-999),,,,,main
Autodesk,San Francisco,California,United States,North America,1350,2025-02-27,9.0,Other,Post-IPO,,2025,2025,2025-02,2025-Q1,"Large (1,000-4,999)",,,,,main
Digimarc,Portland,Oregon,United States,North America,90,2025-02-27,40.0,Other,Post-IPO,105.0,2025,2025,2025-02,2025-Q1,Small (<100),,,,,main
Grubhub,San Francisco,California,United States,North America,500,2025-02-28,23.0,Food,Acquired,284.0,2025,2025,2025-02,2025-Q1,Mid-size (100-999),,,,,main
Automattic,San Francisco,California,United States,North America,281,2025-03-02,16.0,Other,Series E,986.0,2025,2025,2025-03,2025-Q1,Mid-size (100-999),,,,,main
Evolve,Denver,Colorado,United States,North America,164,2023-05-29,14.0,Travel,Series F,224.0,2023,2023,2023-05,2023-Q2,Mid-size (100-999),,,,,main
Hewlett Packard Enterprise,Palo Alto,California,United States,North America,2500,2025-03-06,5.0,Hardware,Post-IPO,1400.0,2025,2025,2025-03,2025-Q1,"Large (1,000-4,999)",,,,,main
Smava,Berlin,Berlin,Germany,Europe,100,2022-08-31,10.0,Finance,Unknown,188.0,2022,2022,2022-08,2022-Q3,Mid-size (100-999),,,,,main
ActiveFence,New York City,New York,United States,North America,22,2025-03-13,7.0,Security,Series B,100.0,2025,2025,2025-03,2025-Q1,Small (<100),,,,,main
Block,Oakland,California,United States,North America,931,2025-03-25,8.0,Finance,Post-IPO,150.0,2025,2025,2025-03,2025-Q1,Mid-size (100-999),,,,,main
Synopsys,Sunnyvale,California,United States,North America,2000,2025-11-13,10.0,Software Development,,,2025,2025,2025-11,2025-Q4,"Large (1,000-4,999)",,,,,main
Pipe,San Francisco,California,United States,North America,200,2025-11-18,50.0,Finance,,,2025,2025,2025-11,2025-Q4,Mid-size (100-999),,,,,main
Payoneer,New York City,New York,United States,North America,60,2025-12-08,6.0,Finance,,,2025,2025,2025-12,2025-Q4,Small (<100),,,,,main
SE Ranking,Wilmington,Delaware,United States,North America,36,2025-12-10,15.0,SEO Software,,,2025,2025,2025-12,2025-Q4,Small (<100),,,,,main
Lusha,Boston,Massachusetts,United States,North America,24,2025-12-10,8.0,Software Development,,,2025,2025,2025-12,2025-Q4,Small (<100),,,,,main
MyBambu,Memphis,Tennessee,United States,North America,141,2025-11-05,100.0,Finance,,,2025,2025,2025-11,2025-Q4,Mid-size (100-999),,,,,main
Tia,San Francisco,California,United States,North America,72,2025-10-18,23.0,Healthcare,,,2025,2025,2025-10,2025-Q4,Small (<100),,,,,main
Teads,New York City,New York,United States,North America,180,2025-12-10,10.0,Marketing,,,2025,2025,2025-12,2025-Q4,Mid-size (100-999),,,,,main
Foodsby,Minneapolis,Minnesota,United States,North America,87,2020-03-24,67.0,Food,Series B,20.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Sonder,San Francisco,California,United States,North America,400,2020-03-24,33.0,Travel,Series D,359.0,2020,2020,2020-03,2020-Q1,Mid-size (100-999),,,,,main
Zeus Living,San Francisco,California,United States,North America,80,2020-03-24,30.0,Real Estate,Series B,79.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Jama,Portland,Oregon,United States,North America,12,2020-03-25,5.0,Product,Unknown,233.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
TripActions,Palo Alto,California,United States,North America,300,2020-03-25,25.0,Travel,Series D,,2020,2020,2020-03,2020-Q1,Mid-size (100-999),,,,,main
WanderJaunt,San Francisco,California,United States,North America,56,2020-03-25,23.0,Travel,Series B,26.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Wonderschool,San Francisco,California,United States,North America,50,2020-03-25,75.0,Education,Series A,24.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Consider.co,Mountain View,California,United States,North America,13,2020-03-26,100.0,Other,Seed,5.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Peerspace,San Francisco,California,United States,North America,41,2020-03-26,75.0,Real Estate,Series B,34.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Puppet,Portland,Oregon,United States,North America,50,2020-03-26,10.0,Infrastructure,Series F,149.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Bevi,Boston,Massachusetts,United States,North America,30,2020-03-27,20.0,Food,Series C,60.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Blueground,New York City,New York,United States,North America,130,2020-03-27,25.0,Real Estate,Series B,77.0,2020,2020,2020-03,2020-Q1,Mid-size (100-999),,,,,main
DataRobot,Boston,Massachusetts,United States,North America,200,2020-03-27,16.7,Data,Series E,430.0,2020,2020,2020-03,2020-Q1,Mid-size (100-999),,,,,main
Knotel,New York City,New York,United States,North America,127,2020-03-27,30.0,Real Estate,Series C,560.0,2020,2020,2020-03,2020-Q1,Mid-size (100-999),,,,,main
Textio,Seattle,Washington,United States,North America,30,2020-03-27,20.0,HR,Unknown,41.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
ZipRecruiter,Los Angeles,California,United States,North America,400,2020-03-29,39.0,HR,Series B,219.0,2020,2020,2020-03,2020-Q1,Mid-size (100-999),,,,,main
Iris Nova,New York City,New York,United States,North America,9,2020-03-30,50.0,Food,Seed,15.0,2020,2020,2020-03,2020-Q1,Small (<100),,,,,main
Sauce Labs,San Francisco,California,United States,North America,30,2020-04-02,15.0,Infrastructure,Unknown,151.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Synergysuite,Salt Lake City,Utah,United States,North America,5,2020-04-02,7.0,Food,Series A,6.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
The Predictive Investment,Boston,Massachusetts,United States,North America,59,2020-04-02,25.0,HR,Acquired,65.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
D2iQ,San Francisco,California,United States,North America,34,2020-04-03,13.0,Infrastructure,Series D,247.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Jetty,New York City,New York,United States,North America,35,2020-04-03,40.0,Finance,Series B,40.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Domo,Salt Lake City,Utah,United States,North America,90,2020-04-09,10.0,Data,Post-IPO,689.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
Matterport,Sunnyvale,California,United States,North America,90,2020-04-09,34.0,Data,Series D,114.0,2020,2020,2020-04,2020-Q2,Small (<100),,,,,main
